,frequency,Words
0,4460,'
3,4460,'information
9,4460,sciences
4,2228,'is
1,701,'aspects
79,549,'print
2,440,'construction
7,439,[
5,435,","
8,435,]
69,406,'field
92,378,research
51,325,'issues
13,291,'topics
70,276,'genealogy
139,253,'methods
132,231,'foundation
67,210,'expenses
347,210,'retrieval
168,210,'materials
134,171,'concepts
130,171,'communication
478,171,'selection
48,153,'variety
118,141,'library
136,120,'evaluation
166,120,'production
409,112,'diagrams
196,105,'reliability
235,105,'agenda
165,105,'role
30,105,'exhibitions
265,105,'user
237,94,'core
122,91,policy
153,91,'fields
318,91,'investigation
127,91,'technologies
317,91,'culture
120,83,information
18,81,studies
125,78,'projects
180,78,'skills
470,78,'computers
112,69,'lis
254,66,strategies
160,66,'collections
181,66,'media
129,66,management
57,66,'theories
14,66,'techniques
29,56,'exhibition
213,55,'practices
324,55,'formats
98,55,'systems
390,55,'dimensions
62,55,'assignments
152,55,'communities
248,55,service
10,55,'models
83,49,'researchers
59,47,'data
205,45,knowledge
158,45,'dissemination
239,45,'interrelationships
88,45,'ways
269,45,needs
175,45,'preservation
215,45,'development
121,45,science
170,45,'approaches
148,45,'history
438,45,'contexts
531,39,storage
255,36,'administration
546,36,creation
238,36,'freedom
304,36,library
124,36,'learning
297,36,'children
547,36,standing
66,34,'documents
197,32,'scenarios
263,31,'structures
279,31,delivery
58,31,technologies
78,30,'order
384,29,selection
225,29,'submission
246,28,course
151,28,'problems
372,28,'applications
314,28,'experience
63,28,'census
164,28,'understanding
95,28,'opportunities
94,28,'education
247,28,professions
249,28,'question
162,28,students
163,28,'types
309,28,'range
407,24,'course
65,22,'consent
86,22,'students
234,21,'agencies
260,21,'coverage
328,21,'aids
91,21,records
22,21,'building
243,21,'situations
320,21,'impact
507,21,'problem
55,21,property
458,21,analytics
154,21,'literacy
467,21,'info
468,21,'macs
54,21,'intellectual
157,21,'relations
267,21,cataloging
53,21,'ethics
519,21,'junior
469,21,202
268,21,communities
500,20,competencies
49,19,centers
305,19,media
226,16,'u
281,16,libraries
60,16,mining
508,15,'text
156,15,'discussion
509,15,background
479,15,'senior
510,15,constructs
511,15,language
512,15,processing
513,15,solving
300,15,'k-12
195,15,'refactoring
480,15,'undergraduates
481,15,criteria
326,15,'technology
245,15,'users
240,15,'m.s
241,15,'professionalism
242,15,'science
244,15,'sponsors
236,15,'community
505,15,'abstraction
506,15,'multimedia
96,15,'emphasis
149,15,'forms
142,15,'modeling
99,15,'challenges
126,15,'standards
114,12,services
150,10,'presentation
81,10,'records
185,10,'developers
111,10,'archives
436,10,'creation
123,10,'organization
193,10,'profiling
216,10,'acquisition
131,10,'goals
465,10,'discussions
80,10,'readings
344,10,'activities
311,10,'studies
52,10,'application
56,10,'management
463,10,'story
