Label,Edges,Source,Source_Course_Instructor,Target,Weights
Data Visualization,"['Presentation', 'Information Organization']",590DV,Matthew Turk,590DW,2
Data Visualization,['Presentation'],590DV,Matthew Turk,590ED1,1
Data Visualization,['Presentation'],590DV,Matthew Turk,590ED2,1
Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,590ELO,2
Data Visualization,"['Tools', 'Teaching']",590DV,Matthew Turk,590GHG,2
Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,590GLO,2
Data Visualization,"['Tools', 'Information Organization']",590DV,Matthew Turk,590IK,2
Data Visualization,"['Presentation', 'Information Organization']",590DV,Matthew Turk,590ISO,2
Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,590MD,2
Data Visualization,"['Presentation', 'Teaching']",590DV,Matthew Turk,590OH,2
Data Visualization,['Information Organization'],590DV,Matthew Turk,590PC,1
Data Visualization,['Presentation'],590DV,Matthew Turk,590PP,1
Data Visualization,"['Programming', 'Tools', 'Information Organization']",590DV,Matthew Turk,590PR,3
Data Visualization,"['Programming', 'Tools', 'Information Organization']",590DV,Matthew Turk,590PR2,3
Data Visualization,"['Programming', 'Tools', 'Information Organization']",590DV,Matthew Turk,590QM,3
Data Visualization,['Information Organization'],590DV,Matthew Turk,590SOS,1
Data Visualization,['Information Organization'],590DV,Matthew Turk,590SPO,1
Data Visualization,['Information Organization'],590DV,Matthew Turk,594JLW,1
Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,502B,2
Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,502C,2
Data Visualization,['Information Organization'],590DV,Matthew Turk,507A,1
Data Visualization,['Information Organization'],590DV,Matthew Turk,507AO,1
Data Visualization,['Information Organization'],590DV,Matthew Turk,507AO2,1
Data Visualization,['Information Organization'],590DV,Matthew Turk,508AO,1
Data Visualization,['Information Organization'],590DV,Matthew Turk,508AO2,1
Data Visualization,['Teaching'],590DV,Matthew Turk,515A,1
Data Visualization,['Teaching'],590DV,Matthew Turk,515AO,1
Data Visualization,['Teaching'],590DV,Matthew Turk,516A,1
Data Visualization,['Teaching'],590DV,Matthew Turk,516AO,1
Data Visualization,"['Presentation', 'Teaching', 'Information Organization']",590DV,Matthew Turk,518AO,3
Data Visualization,"['Presentation', 'Teaching']",590DV,Matthew Turk,527AO,2
Data Visualization,['Information Organization'],590DV,Matthew Turk,528A,1
Data Visualization,['Information Organization'],590DV,Matthew Turk,530I,1
Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,531AO,2
Data Visualization,['Information Organization'],590DV,Matthew Turk,532A,1
Data Visualization,['Information Organization'],590DV,Matthew Turk,532AO,1
Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,542A,2
Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,542B,2
Data Visualization,['Information Organization'],590DV,Matthew Turk,543A,1
Data Visualization,['Information Organization'],590DV,Matthew Turk,543B,1
Data Visualization,['Information Organization'],590DV,Matthew Turk,543C,1
Data Visualization,['Teaching'],590DV,Matthew Turk,547AO,1
Data Visualization,['Tools'],590DV,Matthew Turk,560AO,1
Data Visualization,"['Programming', 'Tools', 'Information Organization']",590DV,Matthew Turk,561A,3
Data Visualization,"['Programming', 'Tools', 'Information Organization']",590DV,Matthew Turk,561AO,3
Data Visualization,"['Programming', 'Tools', 'Information Organization']",590DV,Matthew Turk,561B,3
Data Visualization,['Information Organization'],590DV,Matthew Turk,562AO,1
Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,567AO,2
Data Visualization,['Presentation'],590DV,Matthew Turk,580AO,1
Data Visualization,['Information Organization'],590DV,Matthew Turk,581AO,1
Data Visualization,['Information Organization'],590DV,Matthew Turk,582AO,1
Data Visualization,"['Presentation', 'Teaching']",590DV,Matthew Turk,590AT,2
Data Visualization,"['Programming', 'Presentation', 'Tools']",590DV,Matthew Turk,590BAO,3
Data Visualization,['Information Organization'],590DV,Matthew Turk,590CA,1
Data Visualization,['Information Organization'],590DV,Matthew Turk,590DT,1
Data Visualization,"['Presentation', 'Information Organization']",590DV,Matthew Turk,390CC,2
Data Visualization,"['Presentation', 'Information Organization']",590DV,Matthew Turk,390RGI,2
Data Visualization,"['Programming', 'Presentation', 'Information Organization']",590DV,Matthew Turk,390W1A,3
Data Visualization,"['Programming', 'Presentation', 'Information Organization']",590DV,Matthew Turk,390W1B,3
Data Visualization,['Presentation'],590DV,Matthew Turk,409AG,1
Data Visualization,['Presentation'],590DV,Matthew Turk,409AO,1
Data Visualization,['Presentation'],590DV,Matthew Turk,409AO2,1
Data Visualization,['Presentation'],590DV,Matthew Turk,409AU,1
Data Visualization,['Tools'],590DV,Matthew Turk,451A,1
Data Visualization,['Tools'],590DV,Matthew Turk,451AO,1
Data Visualization,"['Programming', 'Information Organization']",590DV,Matthew Turk,452AG,2
Data Visualization,"['Programming', 'Information Organization']",590DV,Matthew Turk,452AO,2
