Source,Target,Type,Id,Label,timeset,Weight,common entities
590DV,590DW,Undirected,5973,"['Presentation', 'Information Organization']",,1,"['Presentation', 'Information Organization']"
590DV,590ED1,Undirected,5974,['Presentation'],,1,['Presentation']
590DV,590ED2,Undirected,5975,['Presentation'],,1,['Presentation']
590DV,590ELO,Undirected,5976,"['Teaching', 'Information Organization']",,1,"['Teaching', 'Information Organization']"
590DV,590GHG,Undirected,5977,"['Teaching', 'Tools']",,1,"['Teaching', 'Tools']"
590DV,590GLO,Undirected,5978,"['Teaching', 'Information Organization']",,1,"['Teaching', 'Information Organization']"
590DV,590IK,Undirected,5979,"['Tools', 'Information Organization']",,1,"['Tools', 'Information Organization']"
590DV,590ISO,Undirected,5980,"['Presentation', 'Information Organization']",,1,"['Presentation', 'Information Organization']"
590DV,590MD,Undirected,5981,"['Teaching', 'Information Organization']",,1,"['Teaching', 'Information Organization']"
590DV,590OH,Undirected,5982,"['Teaching', 'Presentation']",,1,"['Teaching', 'Presentation']"
590DV,590PC,Undirected,5983,['Information Organization'],,1,['Information Organization']
590DV,590PP,Undirected,5984,['Presentation'],,1,['Presentation']
590DV,590PR,Undirected,5985,"['Tools', 'Information Organization', 'Programming']",,1,"['Tools', 'Information Organization', 'Programming']"
590DV,590PR2,Undirected,5986,"['Tools', 'Information Organization', 'Programming']",,1,"['Tools', 'Information Organization', 'Programming']"
590DV,590QM,Undirected,5987,"['Tools', 'Information Organization', 'Programming']",,1,"['Tools', 'Information Organization', 'Programming']"
590DV,590SOS,Undirected,5988,['Information Organization'],,1,['Information Organization']
590DV,590SPO,Undirected,5989,['Information Organization'],,1,['Information Organization']
590DV,594JLW,Undirected,5990,['Information Organization'],,1,['Information Organization']
590DV,502B,Undirected,5991,"['Teaching', 'Information Organization']",,1,"['Teaching', 'Information Organization']"
590DV,502C,Undirected,5992,"['Teaching', 'Information Organization']",,1,"['Teaching', 'Information Organization']"
590DV,507A,Undirected,5993,['Information Organization'],,1,['Information Organization']
590DV,507AO,Undirected,5994,['Information Organization'],,1,['Information Organization']
590DV,507AO2,Undirected,5995,['Information Organization'],,1,['Information Organization']
590DV,508AO,Undirected,5996,['Information Organization'],,1,['Information Organization']
590DV,508AO2,Undirected,5997,['Information Organization'],,1,['Information Organization']
590DV,515A,Undirected,5998,['Teaching'],,1,['Teaching']
590DV,515AO,Undirected,5999,['Teaching'],,1,['Teaching']
590DV,516A,Undirected,6000,['Teaching'],,1,['Teaching']
590DV,516AO,Undirected,6001,['Teaching'],,1,['Teaching']
590DV,518AO,Undirected,6002,"['Teaching', 'Presentation', 'Information Organization']",,1,"['Teaching', 'Presentation', 'Information Organization']"
590DV,527AO,Undirected,6003,"['Teaching', 'Presentation']",,1,"['Teaching', 'Presentation']"
590DV,528A,Undirected,6004,['Information Organization'],,1,['Information Organization']
590DV,530I,Undirected,6005,['Information Organization'],,1,['Information Organization']
590DV,531AO,Undirected,6006,"['Teaching', 'Information Organization']",,1,"['Teaching', 'Information Organization']"
590DV,532A,Undirected,6007,['Information Organization'],,1,['Information Organization']
590DV,532AO,Undirected,6008,['Information Organization'],,1,['Information Organization']
590DV,542A,Undirected,6009,"['Teaching', 'Information Organization']",,1,"['Teaching', 'Information Organization']"
590DV,542B,Undirected,6010,"['Teaching', 'Information Organization']",,1,"['Teaching', 'Information Organization']"
590DV,543A,Undirected,6011,['Information Organization'],,1,['Information Organization']
590DV,543B,Undirected,6012,['Information Organization'],,1,['Information Organization']
590DV,543C,Undirected,6013,['Information Organization'],,1,['Information Organization']
590DV,547AO,Undirected,6014,['Teaching'],,1,['Teaching']
590DV,560AO,Undirected,6015,['Tools'],,1,['Tools']
590DV,561A,Undirected,6016,"['Tools', 'Information Organization', 'Programming']",,1,"['Tools', 'Information Organization', 'Programming']"
590DV,561AO,Undirected,6017,"['Tools', 'Information Organization', 'Programming']",,1,"['Tools', 'Information Organization', 'Programming']"
590DV,561B,Undirected,6018,"['Tools', 'Information Organization', 'Programming']",,1,"['Tools', 'Information Organization', 'Programming']"
590DV,562AO,Undirected,6019,['Information Organization'],,1,['Information Organization']
590DV,567AO,Undirected,6020,"['Teaching', 'Information Organization']",,1,"['Teaching', 'Information Organization']"
590DV,580AO,Undirected,6021,['Presentation'],,1,['Presentation']
590DV,581AO,Undirected,6022,['Information Organization'],,1,['Information Organization']
590DV,582AO,Undirected,6023,['Information Organization'],,1,['Information Organization']
590DV,590AT,Undirected,6024,"['Teaching', 'Presentation']",,1,"['Teaching', 'Presentation']"
590DV,590BAO,Undirected,6025,"['Presentation', 'Tools', 'Programming']",,1,"['Presentation', 'Tools', 'Programming']"
590DV,590CA,Undirected,6026,['Information Organization'],,1,['Information Organization']
590DV,590DT,Undirected,6027,['Information Organization'],,1,['Information Organization']
590DV,390CC,Undirected,6028,"['Presentation', 'Information Organization']",,1,"['Presentation', 'Information Organization']"
590DV,390RGI,Undirected,6029,"['Presentation', 'Information Organization']",,1,"['Presentation', 'Information Organization']"
590DV,390W1A,Undirected,6030,"['Presentation', 'Information Organization', 'Programming']",,1,"['Presentation', 'Information Organization', 'Programming']"
590DV,390W1B,Undirected,6031,"['Presentation', 'Information Organization', 'Programming']",,1,"['Presentation', 'Information Organization', 'Programming']"
590DV,409AG,Undirected,6032,['Presentation'],,1,['Presentation']
590DV,409AO,Undirected,6033,['Presentation'],,1,['Presentation']
590DV,409AO2,Undirected,6034,['Presentation'],,1,['Presentation']
590DV,409AU,Undirected,6035,['Presentation'],,1,['Presentation']
590DV,451A,Undirected,6036,['Tools'],,1,['Tools']
590DV,451AO,Undirected,6037,['Tools'],,1,['Tools']
590DV,452AG,Undirected,6038,"['Information Organization', 'Programming']",,1,"['Information Organization', 'Programming']"
590DV,452AO,Undirected,6039,"['Information Organization', 'Programming']",,1,"['Information Organization', 'Programming']"
590DV,452AU,Undirected,6040,"['Information Organization', 'Programming']",,1,"['Information Organization', 'Programming']"
590DV,452BG,Undirected,6041,"['Information Organization', 'Programming']",,1,"['Information Organization', 'Programming']"
590DV,452BU,Undirected,6042,"['Information Organization', 'Programming']",,1,"['Information Organization', 'Programming']"
590DV,457IDG,Undirected,6043,"['Information Organization', 'Programming']",,1,"['Information Organization', 'Programming']"
590DV,457IDU,Undirected,6044,"['Teaching', 'Presentation', 'Tools', 'Programming']",,1,"['Teaching', 'Presentation', 'Tools', 'Programming']"
590DV,458AO,Undirected,6045,"['Teaching', 'Information Organization']",,1,"['Teaching', 'Information Organization']"
590DV,461AG,Undirected,6046,"['Presentation', 'Information Organization']",,1,"['Presentation', 'Information Organization']"
590DV,461AO,Undirected,6047,"['Presentation', 'Information Organization']",,1,"['Presentation', 'Information Organization']"
590DV,461AU,Undirected,6048,"['Presentation', 'Information Organization']",,1,"['Presentation', 'Information Organization']"
590DV,462G4,Undirected,6049,['Tools'],,1,['Tools']
