,Course1,Course2,Common Entities
0,590DV,590GE,['Students']
1,590DV,590GEO,['Students']
2,590DV,590ISO,['concepts']
3,590DV,590MD,['methods']
4,590DV,590PBO,['understanding']
5,590DV,590PC,['Students']
6,590DV,590PR,"['tools', 'Python', 'programming']"
7,590DV,590PR2,"['tools', 'Python']"
8,590DV,590QM,"['tools', 'Python', 'programming']"
9,590DV,590SOS,['methods']
10,590DV,590TX,['Students']
11,590DV,591AMO,['submission']
12,590DV,594JLW,"['methods', 'Students']"
13,590DV,591,['submission']
14,590DV,507A,"['concepts', 'access']"
15,590DV,507AO,"['concepts', 'access']"
16,590DV,507AO2,"['concepts', 'access']"
17,590DV,515A,['methods']
18,590DV,515AO,['methods']
19,590DV,516A,['Students']
20,590DV,516AO,['Students']
21,590DV,518AO,['access']
22,590DV,527AO,['class']
23,590DV,528A,['tools']
24,590DV,530C,['tools']
25,590DV,530I,"['tools', 'Students', 'exploration']"
26,590DV,532A,['tools']
27,590DV,532AO,['tools']
28,590DV,540A,"['Students', 'class']"
29,590DV,543A,['tools']
30,590DV,543B,['tools']
31,590DV,543C,['tools']
32,590DV,547AO,['access']
33,590DV,548A,['concepts']
34,590DV,559A,"['methods', 'Students', 'concepts']"
35,590DV,560AO,"['Students', 'access', 'programming']"
36,590DV,561A,['methods']
37,590DV,561AO,['methods']
38,590DV,561B,['methods']
39,590DV,562AO,['understanding']
40,590DV,568AO,['Students']
41,590DV,581AO,"['access', 'programming']"
42,590DV,582AO,['access']
43,590DV,586A,"['methods', 'tools']"
44,590DV,586AO,"['methods', 'tools']"
45,590DV,590BAO,"['Students', 'visualization']"
46,590DV,590BBO,"['tools', 'Students', 'exploration']"
47,590DV,590CA,['groups']
48,590DV,590CRO,['Students']
49,590DV,590DHO,"['methods', 'concepts', 'tools']"
50,590DV,390W1A,"['understanding', 'Students']"
51,590DV,390W1B,"['understanding', 'Students']"
52,590DV,451A,"['understanding', 'concepts']"
53,590DV,451AO,"['understanding', 'concepts']"
54,590DV,452AG,['concepts']
55,590DV,452AO,['concepts']
56,590DV,452AU,['concepts']
57,590DV,452BG,['concepts']
58,590DV,452BU,['concepts']
59,590DV,457IDG,"['tools', 'class']"
60,590DV,457IDU,"['tools', 'class']"
61,590DV,458AO,"['methods', 'Students', 'concepts']"
62,590DV,461AG,"['Students', 'access']"
63,590DV,461AO,"['Students', 'access']"
64,590DV,461AU,"['Students', 'access']"
65,590DV,462G4,"['Students', 'concepts']"
66,590DV,462UG3,"['Students', 'concepts']"
67,590DV,490DB,['understanding']
68,590DV,490ITU,"['methods', 'Students']"
69,590DV,490TEO,"['methods', 'concepts']"
70,590DV,501A,"['methods', 'access']"
71,590DV,501AO,"['methods', 'access']"
72,590DV,501AO2,"['methods', 'access']"
73,590DV,501B,"['methods', 'access']"
74,590DW,590GHG,['challenges']
75,590DW,590IK,['technologies']
76,590DW,507A,['technologies']
77,590DW,507AO,['technologies']
78,590DW,507AO2,['technologies']
79,590DW,518AO,['technologies']
80,590DW,560AO,['technologies']
81,590DW,567AO,['challenges']
82,590DW,590DHO,"['technologies', 'challenges']"
83,590DW,390RGI,['technologies']
84,590DW,390W1A,['technologies']
85,590DW,390W1B,['technologies']
86,590DW,451A,['technologies']
87,590DW,451AO,['technologies']
88,590DW,457IDG,['technologies']
89,590DW,457IDU,['technologies']
90,590DW,462G4,"['technologies', 'challenges']"
91,590DW,462UG3,"['technologies', 'challenges']"
92,590DW,490GHU,['challenges']
93,590ED1,590ED2,"['sea mine', 'nothing', 'exhibition', 'concept', 'vitrine', 'wires', 'ceiling', 'ADA', 'IS 590', 'way', 'restrictions', 'manuscript', 'replica', 'Design', 'idea', 'Installation Specialists', 'information sciences', 'work', 'show', 'exhibitions', 'culmination', 'painting', 'planning', 'art', 'building', 'installing', 'everything', 'exceptions', 'aspects']"
94,590ED1,590ELO,"['information sciences', 'IS 590', 'aspects']"
95,590ED1,590ET,"['information sciences', 'IS 590', 'aspects']"
96,590ED1,590GE,"['information sciences', 'IS 590', 'aspects']"
97,590ED1,590GEO,"['information sciences', 'IS 590', 'aspects']"
98,590ED1,590GHG,"['information sciences', 'IS 590', 'aspects']"
99,590ED1,590GLO,"['information sciences', 'IS 590', 'aspects']"
100,590ED1,590IK,"['information sciences', 'planning', 'IS 590', 'aspects']"
101,590ED1,590ISO,"['information sciences', 'IS 590', 'aspects']"
102,590ED1,590MD,"['information sciences', 'IS 590', 'aspects']"
103,590ED1,590OH,"['information sciences', 'IS 590', 'aspects', 'discussion']"
104,590ED1,590PBO,"['information sciences', 'IS 590', 'aspects', 'work']"
105,590ED1,590PC,"['information sciences', 'IS 590', 'aspects']"
106,590ED1,590PP,"['information sciences', 'IS 590', 'aspects']"
107,590ED1,590PR,"['information sciences', 'IS 590', 'aspects', 'work']"
108,590ED1,590PR2,['work']
109,590ED1,590QM,['work']
110,590ED1,590SOS,"['information sciences', 'IS 590', 'aspects']"
111,590ED1,590SPO,"['information sciences', 'IS 590', 'aspects']"
112,590ED1,594JLW,"['information sciences', 'IS 590', 'aspects']"
113,590ED1,505A,['institutions']
114,590ED1,505AO,['institutions']
115,590ED1,527AO,['experience']
116,590ED1,530C,['techniques']
117,590ED1,530I,"['processes', 'discussion']"
118,590ED1,532A,['techniques']
119,590ED1,532AO,['techniques']
120,590ED1,540A,['techniques']
121,590ED1,543A,"['dimensions', 'experience']"
122,590ED1,543B,"['dimensions', 'experience']"
123,590ED1,543C,"['dimensions', 'experience']"
124,590ED1,545AO,['work']
125,590ED1,547AO,"['planning', 'discussion']"
