,CourseName,Edges,Source,Source_Course_Instructor,Target,Weights
0,Data Visualization,"['Presentation', 'Information Organization']",Data Visualization,Matthew Turk,Data Warehousing and BI,2
1,Data Visualization,"['Information Organization', 'Teaching']",Data Visualization,Matthew Turk,E-Learning,2
2,Data Visualization,"['Tools', 'Teaching']",Data Visualization,Matthew Turk,Global Health Informatics,2
3,Data Visualization,"['Information Organization', 'Teaching']",Data Visualization,Matthew Turk,"Local, Regional, Global IS",2
4,Data Visualization,"['Tools', 'Information Organization']",Data Visualization,Matthew Turk,Expl Info Know Mgmt Strategies,2
5,Data Visualization,"['Presentation', 'Information Organization']",Data Visualization,Matthew Turk,Information Service Marketing,2
6,Data Visualization,"['Information Organization', 'Teaching']",Data Visualization,Matthew Turk,Methods for Data Science,2
7,Data Visualization,"['Presentation', 'Teaching']",Data Visualization,Matthew Turk,Oral History,2
8,Data Visualization,['Information Organization'],Data Visualization,Matthew Turk,Presv & Consv Spec Colls Care,1
9,Data Visualization,['Presentation'],Data Visualization,Matthew Turk,Pro Comm Lib & other Info Pro,1
10,Data Visualization,"['Tools', 'Programming', 'Information Organization']",Data Visualization,Matthew Turk,Qualitative Methods Research,3
11,Data Visualization,['Information Organization'],Data Visualization,Matthew Turk,Self-Organizing Info Systems,1
12,Data Visualization,['Information Organization'],Data Visualization,Matthew Turk,Coll Dev for Spec Coll,1
13,Data Visualization,['Information Organization'],Data Visualization,Matthew Turk,Information Sciences Practice,1
14,Data Visualization,"['Presentation', 'Information Organization', 'Teaching']",Data Visualization,Matthew Turk,Community Informatics,3
15,Data Visualization,"['Presentation', 'Teaching']",Data Visualization,Matthew Turk," Literacy, Reading, and Readers",2
16,Data Visualization,['Information Organization'],Data Visualization,Matthew Turk, Adult Popular Literature,1
17,Data Visualization,['Information Organization'],Data Visualization,Matthew Turk, Bio Informatics Probs & Res,1
18,Data Visualization,"['Information Organization', 'Teaching']",Data Visualization,Matthew Turk, Foundations of Data Curation,2
19,Data Visualization,['Teaching'],Data Visualization,Matthew Turk, Info Srvcs Diverse Populations,1
20,Data Visualization,['Tools'],Data Visualization,Matthew Turk, Digital Libraries,1
21,Data Visualization,['Information Organization'],Data Visualization,Matthew Turk, Metadata in Theory & Practice,1
22,Data Visualization,"['Information Organization', 'Teaching']",Data Visualization,Matthew Turk, Academic Librarianship,2
23,Data Visualization,['Presentation'],Data Visualization,Matthew Turk, Rare Book and Spec Colls,1
24,Data Visualization,['Information Organization'],Data Visualization,Matthew Turk, Adm and Use Archival Materials,1
25,Data Visualization,['Information Organization'],Data Visualization,Matthew Turk, Preserving Info Resources,1
26,Data Visualization,"['Presentation', 'Teaching']",Data Visualization,Matthew Turk, Issues Scholarly Communication,2
27,Data Visualization,"['Tools', 'Presentation', 'Programming']",Data Visualization,Matthew Turk, Business Analytics,3
28,Data Visualization,['Information Organization'],Data Visualization,Matthew Turk, Community Archives,1
29,Data Visualization,['Information Organization'],Data Visualization,Matthew Turk, Data Mining,1
30,Data Visualization,"['Presentation', 'Information Organization']",Data Visualization,Matthew Turk,Computers and Cultures,2
31,Data Visualization,"['Presentation', 'Information Organization']",Data Visualization,Matthew Turk,"Race, Gender & Info Technology",2
32,Data Visualization,"['Information Organization', 'Teaching']",Data Visualization,Matthew Turk, Instruc Strat Tech Info Prof,2
33,Data Visualization,"['Presentation', 'Programming', 'Information Organization']",Data Visualization,Matthew Turk, Introduction to Databases,3
34,Data Visualization,"['Presentation', 'Information Organization']",Data Visualization,Matthew Turk,Introduction to Databases,2
35,Data Visualization,"['Tools', 'Presentation', 'Information Organization', 'Teaching']",Data Visualization,Matthew Turk, Global Health Informatics,4
36,Data Visualization,"['Tools', 'Presentation', 'Programming', 'Information Organization']",Data Visualization,Matthew Turk,Entrepreneurial IT Design,4
37,Data Visualization,"['Tools', 'Presentation', 'Programming', 'Information Organization']",Data Visualization,Matthew Turk, Intro to Technology in LIS,4
38,Data Visualization,['Teaching'],Data Visualization,Matthew Turk,Student Teaching Seminar,1
39,Data Visualization,"['Presentation', 'Information Organization']",Data Visualization,Matthew Turk,Data Warehousing and BI,2
40,Data Visualization,"['Information Organization', 'Teaching']",Data Visualization,Matthew Turk,E-Learning,2
41,Data Visualization,"['Tools', 'Teaching']",Data Visualization,Matthew Turk,Global Health Informatics,2
42,Data Visualization,"['Information Organization', 'Teaching']",Data Visualization,Matthew Turk,"Local, Regional, Global IS",2
43,Data Visualization,"['Tools', 'Information Organization']",Data Visualization,Matthew Turk,Expl Info Know Mgmt Strategies,2
44,Data Visualization,"['Presentation', 'Information Organization']",Data Visualization,Matthew Turk,Information Service Marketing,2
45,Data Visualization,"['Information Organization', 'Teaching']",Data Visualization,Matthew Turk,Methods for Data Science,2
46,Data Visualization,"['Presentation', 'Teaching']",Data Visualization,Matthew Turk,Oral History,2
47,Data Visualization,['Information Organization'],Data Visualization,Matthew Turk,Presv & Consv Spec Colls Care,1
48,Data Visualization,['Presentation'],Data Visualization,Matthew Turk,Pro Comm Lib & other Info Pro,1
