ID,Name,Description,Instructor
590DV,Data Visualization,"Data visualization is crucial to conveying information drawn from models, observations or investigations. This course will provide an overview of historical and modern techniques for visualizing data, drawing on quantitative, statistical, and network-focused datasets. Topics will include construction of communicative visualizations, the modern software ecosystem of visualization, and techniques for aggregation and interpretation of data through visualization.Particular attention will be paid to the Python ecosystem and multi-dimensional quantitative datasets. Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Matthew Turk
590DW,Data Warehousing and BI,"This course examines the construction of a data warehouse and business intelligence system. It will review the roles and requirements of building the system, including data modelling and business intelligence product design. This course will explore real-world case studies of data warehouse and business intelligence projects leading to a final project to design a solution for a business case. Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Michael Wonderlich
590ED1,Exhibit Design & Installation,"This course meets the first 8 weeks of the semester. The opening night of any exhibition is the culmination of many months and sometimes years of planning centered around an initial core idea for a show. After that idea has gelled into a working concept, it is handed to Design and Installation Specialists to see what is really possible. Can we have all the art suspended from wires? Can the ceiling support a replica of a sea mine? Can we devise a secure vitrine for this priceless manuscript? Does this meet ADA restrictions? How will everything fit together? Can we get that look? This course will address how exhibitions attains a specific look? This is not a course on developing or curating the information, but rather a course on presenting that information in the most compelling way. We will look at the planning, fabricating, painting, building, and installing are large parts of our work. We also have to consider that nothing, with few exceptions, is permanent. Our work needs to be se Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Walter Wilson
590ED2,Exhibit Design & Installation,"This course meets the last 8 weeks of the semester. The opening night of any exhibition is the culmination of many months and sometimes years of planning centered around an initial core idea for a show. After that idea has gelled into a working concept, it is handed to Design and Installation Specialists to see what is really possible. Can we have all the art suspended from wires? Can the ceiling support a replica of a sea mine? Can we devise a secure vitrine for this priceless manuscript? Does this meet ADA restrictions? How will everything fit together? Can we get that look? This course will address how exhibitions attains a specific look? This is not a course on developing or curating the information, but rather a course on presenting that information in the most compelling way. We will look at the planning, fabricating, painting, building, and installing are large parts of our work. We also have to consider that nothing, with few exceptions, is permanent. Our work needs to be sec Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Walter Wilson
590ELO,E-Learning,"2 or 4 credits: Provides an introduction to a wide variety of online learning methods, including videos, multimedia tutorials, webinars, and online courses (including synchronous, asynchronous, and hybrid models) with a focus on their use in libraries and information centers. The course will prepare students to develop patron-oriented e-learning resources and to lead online courses following best practices. Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Melissa Wong
590ET,Information Ethics,"This course will introduce students to major ethical theories and their application to the design, management, and use of information and information technologies. Some of the topics and issues considered include: professional ethics, intellectual property, privacy, data mining, and information access. Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Lori Kendall
590GE,Genealogy and Library Service,"2 or 4 credits: Prerequisite: IS 504 or consent of instructor: This is a hybrid course that meets with IS 590 GEO. Provides a basic knowledge of U.S. genealogical and family history research, and explores ways in which librarians can best serve researchers in this field. This course will familiarize you with how to gather the major sources used in family history research, as well as how to properly analyze, organize, and document them. A variety of sources, both print and digital, will be covered including vital, census, church, military and land records. In addition to readings and lectures, students will complete a series of assignments in order to acquire research skills. Note: Students enrolled for 4 hours of credit will be required to complete a compiled genealogy and some personal monetary expenses should be expected of students completing this project (e.g., expenses incurred for ordering records, etc.). Acquiring the necessary documents could cost approximately $100.00 to $200. Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Nicole Miller
590GEO,Genealogy and Library Service,"2 or 4 credits: Prerequisite: IS 504 or consent of instructor: This is a hybrid course that meets with IS 590 GE. Provides a basic knowledge of U.S. genealogical and family history research, and explores ways in which librarians can best serve researchers in this field. This course will familiarize you with how to gather the major sources used in family history research, as well as how to properly analyze, organize, and document them. A variety of sources, both print and digital, will be covered including vital, census, church, military and land records. In addition to readings and lectures, students will complete a series of assignments in order to acquire research skills. Note: Students enrolled for 4 hours of credit will be required to complete a compiled genealogy and some personal monetary expenses should be expected of students completing this project (e.g., expenses incurred for ordering records, etc.). Acquiring the necessary documents could cost approximately $100.00 to $200.0 Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Nicole Miller
590GHG,Global Health Informatics,"The course will examine the current state of global health informatics from both a local and global perspective, including opportunities and challenges. Focus will be placed on the transition from paper-based records to electronic systems, with a particular emphasis on large international open-source initiatives and use of mobile devices. Guest speakers will share their experiences with WHO, international education based on mobile devices, and regulatory issues. Meets with IS 490 GHU Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Ian Brooks
590GLO,"Local, Regional, Global IS","[Expanded title: Local, Regional and Global Intersections in Library and Information Science]. Required course for joint African Studies/LIS Master's degree. This course explores traditions and trends in library and information science (LIS) from a global perspective incorporating local and regional intersections. Participants consider diverse information contexts emphasizing IS subfields including archives, community informatics, data curation, information policy, IS education, and youth services. Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Steven Witt
590IK,Expl Info Know Mgmt Strategies,"This course covers information and knowledge in the workplace, building effective knowledge management strategies, and examining technologies for knowledge management, specifically Microsoft SharePoint. Some topics covered will include knowledge management objectives, business process analysis and improvement, information governance and standards, and strategic planning. The course prepares students on how to build a successful knowledge process for an organization. Emphasis will be on case studies, projects, and hands-on learning. Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Julia Hart
590ISO,Information Service Marketing,"Examines all aspects of non-profit marketing, including the basic principles of marketing, and their application to a wide variety of settings, particularly non-profits, and applying the principles in an evaluation of an information service provider, carrying out basic market research for this provider, and writing a basic marketing plan. The goals of this course are: to provide a theoretical foundation that can be applied to many different organizational settings, particularly non-profits; to apply these theoretical concepts to a real-world situation comparable to the settings in which you will be employed; to develop team and leadership organization, communication and planning skills. Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.","Jeff Limp, ryan larkin"
590MD,Methods for Data Science,"Prerequisites are LIS542 or equivalent (e.g. intro probability/stats STAT 100, CS361, or ECON 202) and LIS490IDS/CS398IDS/STAT430IDS or CS101 or equivalent; or consent of the instructor . Linear Algebra recommended at the level of MATH 125 or higher; Calculus recommended at the level of MATH 220. A dramatic increase in computing power has enabled new areas of data science to develop in statistical modeling and analysis. These areas cover predictive and descriptive learning bridge ideas and theory in statistics, computer science and artificial intelligence. We will cover many of these new methods including predictive learning such as estimating models from data to predict future outcomes, notably regression and classification models. Regression topics include linear regression with recent advances to deal with large numbers of variables, smoothing techniques, additive models, and local regression. Classification topics include discriminant analysis, logistic regression, support vector m Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Victoria Stodden
