,CourseName,Edges,Source,Source_Course_Instructor,Target,Weights
0,Data Visualization,"['Presentation', 'Information Organization']",590DV,Matthew Turk,590DW,2
1,Data Visualization,['Presentation'],590DV,Matthew Turk,590ED1,1
2,Data Visualization,['Presentation'],590DV,Matthew Turk,590ED2,1
3,Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,590ELO,2
4,Data Visualization,"['Tools', 'Teaching']",590DV,Matthew Turk,590GHG,2
5,Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,590GLO,2
6,Data Visualization,"['Tools', 'Information Organization']",590DV,Matthew Turk,590IK,2
7,Data Visualization,"['Presentation', 'Information Organization']",590DV,Matthew Turk,590ISO,2
8,Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,590MD,2
9,Data Visualization,"['Presentation', 'Teaching']",590DV,Matthew Turk,590OH,2
10,Data Visualization,['Information Organization'],590DV,Matthew Turk,590PC,1
11,Data Visualization,['Presentation'],590DV,Matthew Turk,590PP,1
12,Data Visualization,"['Programming', 'Tools', 'Information Organization']",590DV,Matthew Turk,590PR,3
13,Data Visualization,"['Programming', 'Tools', 'Information Organization']",590DV,Matthew Turk,590PR2,3
14,Data Visualization,"['Programming', 'Tools', 'Information Organization']",590DV,Matthew Turk,590QM,3
15,Data Visualization,['Information Organization'],590DV,Matthew Turk,590SOS,1
16,Data Visualization,['Information Organization'],590DV,Matthew Turk,590SPO,1
17,Data Visualization,['Information Organization'],590DV,Matthew Turk,594JLW,1
18,Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,502B,2
19,Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,502C,2
20,Data Visualization,['Information Organization'],590DV,Matthew Turk,507A,1
21,Data Visualization,['Information Organization'],590DV,Matthew Turk,507AO,1
22,Data Visualization,['Information Organization'],590DV,Matthew Turk,507AO2,1
23,Data Visualization,['Information Organization'],590DV,Matthew Turk,508AO,1
24,Data Visualization,['Information Organization'],590DV,Matthew Turk,508AO2,1
25,Data Visualization,['Teaching'],590DV,Matthew Turk,515A,1
