,ID,Name,Description,Instructor,category,entity_type,entity_name
0,590DV,Data Visualization,"This course is designed to give practical advice to students on communicating data through visualization. This will involve a considerable amount of programming, and typically this programming will be done in Python. For the most part, our data will be quantitative and multi-dimensional. The course will aim to provide both an understanding of what data visualizations communicate and a set of tools for constructing them yourself.

The course will follow a common pattern within each three-hour instructional session. The first 60-90 minutes will be focused on lecture, where concepts and tools will be introduced; typically, each class will focus on one type of visualization or class of visualization. The remaining time will include exploration of a dataset, which may be independent or in groups, and then a wrap-up session at the end.

Students are expected to have laptops with them, as well as access to Python installations, and will be encouraged to participate in class. Homework will be assigned and collected utilizing the Jupyter nbgrader extension or through other methods specified at time of submission.",Matthew Turk,"['/Science/Computer Science', '/Jobs & Education/Education', '/Computers & Electronics/Programming']","['OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'EVENT', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'WORK_OF_ART', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'EVENT', 'EVENT', 'OTHER', 'OTHER', 'UNKNOWN', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'EVENT', 'OTHER', 'OTHER', 'CONSUMER_GOOD', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'EVENT', 'OTHER', 'ORGANIZATION', 'PERSON']","['course', 'data', 'visualization', 'students', 'advice', 'programming', 'dataset', 'amount', 'data visualizations', 'programming', 'Students', 'lecture', 'data', 'course', 'part', 'visualization', 'visualization', 'class', 'class', 'session', 'tools', 'tools', 'Python', 'set', 'pattern', 'concepts', 'type', 'course', 'understanding', 'end', 'access', 'installations', 'laptops', 'class', 'Homework', 'nbgrader extension', 'methods', 'submission', 'exploration', 'groups', 'Jupyter']"
1,590DW,Data Warehousing and BI,"SCOPE AND OBJECTIVES
� Building a data warehousing and business intelligence environment o Whataretheprimarycomponents
o Whatarethekeyservices/technology
o Whataretheprimaryrolesintheproject
� Defining the Data Warehouse/Business Intelligence Project o Requirementsgathering
o Requirementsanalysis
o Understandingthegoals
� Designing a Data Warehouse
o Whichmodellingmethodology _ Kimball
_ Inmon
o Organizingthedatawarehouse o Securitythedata
o Creatingthedatamodel
� Loading the Data Warehouse o Source-to-TargetMaps
o Extract,Transform,Load o DataCleansing
o DataQuality
� Basic SQL
� What is Business Intelligence
o Reporting
o DataAnalysis
o DataVisualization o Dashboards
o PredictiveAnalytics
� New technologies in data organization o Hadoop
590DW Syllabus. Fall 2017
1/5
o NoSQL
o UnstructuredData
o DataWarehouseAppliances
� Case studies of real implementations o Understandingthegoals
o Collectingtherequirements _ Filling in the gaps
o Designconsiderations _ Data model
_ Security
_ Types of business intelligence products, which one(s) meets the need o DevelopmentandTestingphases
_ Overcoming challenges (technical and functional) o Assessingthesuccessoftheimplementation
o Lessonsearned",Michael Wonderlich,"['/Business & Industrial', '/Computers & Electronics/Enterprise Technology/Data Management']","['OTHER', 'OTHER', 'OTHER', 'OTHER', 'ORGANIZATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'ORGANIZATION', 'OTHER', 'OTHER', 'OTHER', 'CONSUMER_GOOD', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'ORGANIZATION', 'OTHER', 'OTHER', 'PERSON', 'WORK_OF_ART', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'CONSUMER_GOOD', 'OTHER', 'OTHER', 'ORGANIZATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER']","['Whataretheprimaryrolesintheproject', 'Requirementsanalysis o Understandingthegoals', 'Whichmodellingmethodology', 'DataCleansing', 'Data Warehouse', 'data warehousing', 'SCOPE', 'OBJECTIVES', 'Whataretheprimarycomponents o Whatarethekeyservices', 'o', 'o', 'Hadoop 590DW Syllabus', 'Data Warehouse', 'Business Intelligence', 'technologies', 'o Reporting', 'o Source', 'Requirementsgathering', 'DataAnalysis o DataVisualization', 'o Dashboards', 'Types', 'Extract,Transform,Load', 'Organizingthedatawarehouse', 'PredictiveAnalytics', 'TargetMaps', 'Kimball _ Inmon', 'Securitythedata o Creatingthedatamodel', 'Assessingthesuccessoftheimplementation o Lessonsearned', 'DevelopmentandTestingphases', 'Security', 'Data model', 'gaps', 'business intelligence products', 'challenges', 'Designconsiderations', 'UnstructuredData o DataWarehouseAppliances', 'Case studies', 'implementations', 'NoSQL', 'Understandingthegoals', 'Collectingtherequirements']"
2,590ED1,Exhibit Design & Installation,"This course meets the first 8 weeks of the semester. The opening night of any exhibition is the culmination of many months and sometimes years of planning centered around an initial core idea for a show. After that idea has gelled into a working concept, it is handed to Design and Installation Specialists to see what is really possible. Can we have all the art suspended from wires? Can the ceiling support a replica of a sea mine? Can we devise a secure vitrine for this priceless manuscript? Does this meet ADA restrictions? How will everything fit together? Can we get that look? This course will address how exhibitions attains a specific look? This is not a course on developing or curating the information, but rather a course on presenting that information in the most compelling way. We will look at the planning, fabricating, painting, building, and installing are large parts of our work. We also have to consider that nothing, with few exceptions, is permanent. Our work needs to be se Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required. This course will address how exhibitions attain a specific ""look.""

This is not a course on developing or curating the information, but rather a course on presenting that information in the most compelling way.

We will look at how planning, fabricating, painting, building, and installing are large parts of exhibition design. We also have to consider that nothing, with few exceptions, is permanent. Our work needs to be secure and stable, but also reversible to make way for the next show.

We will survey the conceptual and procedural dimensions of carrying an exhibition through from curatorial musings to the reality of opening night. We will cover the techniques and processes that begin with a dialogue and move into the concrete. We will discuss the ""what's possible"" response to the initial idea.

We will address the collaborative aspects of working with curators, directors of cultural institutions, registrars, collections managers and architects.

The course will combine discussion with hands-on experience. Some course experiences will take place in the Krannert Art Museum workshop.",Walter Wilson,"['/Arts & Entertainment/Visual Art & Design', '/Reference/Libraries & Museums']","['OTHER', 'OTHER', 'EVENT', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'EVENT', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'WORK_OF_ART', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'WORK_OF_ART', 'OTHER', 'OTHER', 'LOCATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'LOCATION', 'WORK_OF_ART', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'EVENT', 'OTHER', 'WORK_OF_ART', 'OTHER', 'OTHER', 'EVENT', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'ORGANIZATION', 'EVENT', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'PERSON', 'PERSON', 'OTHER', 'LOCATION', 'OTHER', 'OTHER', 'OTHER', 'WORK_OF_ART', 'LOCATION', 'OTHER', 'OTHER', 'LOCATION', 'OTHER']","['course', 'work', 'exhibition', 'culmination', 'planning', 'idea', 'idea', 'show', 'concept', 'Design', 'way', 'Installation Specialists', 'course', 'look', 'course', 'course', 'Class Schedule Information', 'topics courses', 'look', 'ceiling', 'course', 'art', 'Course Information', 'directors', 'look', 'course', 'information', 'information', 'wires', 'sea mine', 'replica', 'vitrine', 'manuscript', 'restrictions', 'everything', 'parts', 'information', 'exhibitions', 'nothing', 'work', 'exhibitions', 'installing', 'planning', 'Variety', 'exceptions', 'aspects', 'building', 'painting', 'techniques', 'Class materials fee', 'field trip fee', 'sections', 'curriculum', 'information sciences', 'fees', 'exhibition', 'credit', 'ADA', 'course', 'course experiences', 'show', 'concrete', 'reality', 'musings', 'dimensions', 'dialogue', 'processes', 'way', 'institutions', 'workshop', 'Class Schedule.', 'idea', 'IS 590', 'place', 'aspects', 'experience', 'course', 'response', 'architects', 'registrars', 'collections managers', 'information', 'parts', 'nothing', 'installing', 'planning', 'painting', 'building', 'exhibition design', 'exceptions', 'Krannert Art Museum', 'discussion']"
3,590ED2,Exhibit Design & Installation,"This course meets the last 8 weeks of the semester. The opening night of any exhibition is the culmination of many months and sometimes years of planning centered around an initial core idea for a show. After that idea has gelled into a working concept, it is handed to Design and Installation Specialists to see what is really possible. Can we have all the art suspended from wires? Can the ceiling support a replica of a sea mine? Can we devise a secure vitrine for this priceless manuscript? Does this meet ADA restrictions? How will everything fit together? Can we get that look? This course will address how exhibitions attains a specific look? This is not a course on developing or curating the information, but rather a course on presenting that information in the most compelling way. We will look at the planning, fabricating, painting, building, and installing are large parts of our work. We also have to consider that nothing, with few exceptions, is permanent. Our work needs to be sec Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Walter Wilson,"['/Jobs & Education/Education', '/Arts & Entertainment']","['OTHER', 'OTHER', 'OTHER', 'EVENT', 'OTHER', 'OTHER', 'OTHER', 'EVENT', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'WORK_OF_ART', 'OTHER', 'WORK_OF_ART', 'OTHER', 'LOCATION', 'WORK_OF_ART', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'WORK_OF_ART', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'LOCATION', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER']","['course', 'idea', 'culmination', 'exhibition', 'planning', 'course', 'look', 'show', 'course', 'concept', 'Installation Specialists', 'Design', 'look', 'course', 'information', 'information', 'ceiling', 'exhibitions', 'planning', 'Course Information', 'topics courses', 'restrictions', 'everything', 'wires', 'sea mine', 'replica', 'manuscript', 'vitrine', 'art', 'way', 'building', 'painting', 'Class Schedule Information', 'sections', 'curriculum', 'aspects', 'information sciences', 'fees', 'ADA', 'Class materials fee', 'field trip fee', 'credit', 'IS 590', 'parts', 'Variety', 'nothing', 'work', 'work', 'installing', 'Class Schedule.', 'exceptions']"
4,590ELO,E-Learning,"2 or 4 credits: Provides an introduction to a wide variety of online learning methods, including videos, multimedia tutorials, webinars, and online courses (including synchronous, asynchronous, and hybrid models) with a focus on their use in libraries and information centers. The course will prepare students to develop patron-oriented e-learning resources and to lead online courses following best practices. Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Melissa Wong,['/Jobs & Education/Education'],"['OTHER', 'OTHER', 'OTHER', 'WORK_OF_ART', 'EVENT', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'LOCATION', 'LOCATION', 'OTHER', 'CONSUMER_GOOD', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER']","['variety', 'credits', 'learning methods', 'videos', 'introduction', 'courses', 'multimedia tutorials', 'webinars', 'focus', 'use', 'libraries', 'information centers', 'course', 'models', 'topics courses', 'courses', 'Variety', 'e-learning resources', 'best practices', 'aspects', 'information sciences', 'students', 'Class Schedule Information', 'credit', 'Class materials fee', 'field trip fee', 'Class Schedule.', 'Course Information', 'curriculum', 'sections', 'fees', 'IS 590']"
5,590ET,Information Ethics,"This course will introduce students to major ethical theories and their application to the design, management, and use of information and information technologies. Some of the topics and issues considered include: professional ethics, intellectual property, privacy, data mining, and information access. Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Lori Kendall,['/Jobs & Education/Education/Colleges & Universities'],"['OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER']","['theories', 'students', 'course', 'application', 'design', 'information', 'management', 'use', 'information technologies', 'Some', 'topics', 'topics courses', 'information access', 'Variety', 'data mining', 'privacy', 'intellectual property', 'ethics', 'issues', 'Class Schedule Information', 'aspects', 'information sciences', 'curriculum', 'sections', 'credit', 'Class materials fee', 'field trip fee', 'Course Information', 'fees', 'Class Schedule.', 'IS 590']"
6,590GE,Genealogy and Library Service,"2 or 4 credits: Prerequisite: IS 504 or consent of instructor: This is a hybrid course that meets with IS 590 GEO. Provides a basic knowledge of U.S. genealogical and family history research, and explores ways in which librarians can best serve researchers in this field. This course will familiarize you with how to gather the major sources used in family history research, as well as how to properly analyze, organize, and document them. A variety of sources, both print and digital, will be covered including vital, census, church, military and land records. In addition to readings and lectures, students will complete a series of assignments in order to acquire research skills. Note: Students enrolled for 4 hours of credit will be required to complete a compiled genealogy and some personal monetary expenses should be expected of students completing this project (e.g., expenses incurred for ordering records, etc.). Acquiring the necessary documents could cost approximately $100.00 to $200. Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Nicole Miller,"['/People & Society/Family & Relationships/Family', '/Jobs & Education/Education']","['OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'LOCATION', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'PERSON', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'WORK_OF_ART', 'OTHER', 'ORGANIZATION', 'LOCATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'WORK_OF_ART', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER']","['course', 'credits', 'family history research', 'Prerequisite', 'consent', 'instructor', 'GEO', 'ways', 'knowledge', 'librarians', 'U.S.', 'researchers', 'course', 'field', 'sources', 'Students', 'expenses', 'students', 'students', 'credit', 'land records', 'research skills', 'sources', 'variety', 'series', 'genealogy', 'military', 'church', 'census', 'assignments', 'order', 'lectures', 'readings', 'addition', 'print', 'topics courses', 'Note', 'Course Information', 'Class Schedule Information', 'aspects', 'sections', 'curriculum', 'information sciences', 'fees', 'credit', 'Class materials fee', 'field trip fee', 'IS 590', 'documents', 'records', 'expenses', 'Variety', 'project', 'Class Schedule.']"
7,590GEO,Genealogy and Library Service,"2 or 4 credits: Prerequisite: IS 504 or consent of instructor: This is a hybrid course that meets with IS 590 GE. Provides a basic knowledge of U.S. genealogical and family history research, and explores ways in which librarians can best serve researchers in this field. This course will familiarize you with how to gather the major sources used in family history research, as well as how to properly analyze, organize, and document them. A variety of sources, both print and digital, will be covered including vital, census, church, military and land records. In addition to readings and lectures, students will complete a series of assignments in order to acquire research skills. Note: Students enrolled for 4 hours of credit will be required to complete a compiled genealogy and some personal monetary expenses should be expected of students completing this project (e.g., expenses incurred for ordering records, etc.). Acquiring the necessary documents could cost approximately $100.00 to $200.0 Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Nicole Miller,"['/People & Society/Family & Relationships/Family', '/Jobs & Education/Education']","['OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'PERSON', 'LOCATION', 'PERSON', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'PERSON', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'WORK_OF_ART', 'OTHER', 'ORGANIZATION', 'LOCATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'WORK_OF_ART', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER']","['Prerequisite', 'credits', 'family history research', 'consent', 'instructor', 'ways', 'knowledge', 'librarians', 'U.S.', 'researchers', 'field', 'sources', 'Students', 'expenses', 'students', 'students', 'credit', 'land records', 'research skills', 'sources', 'variety', 'series', 'genealogy', 'military', 'church', 'census', 'order', 'assignments', 'lectures', 'readings', 'addition', 'print', 'topics courses', 'Note', 'Course Information', 'Class Schedule Information', 'aspects', 'sections', 'curriculum', 'information sciences', 'fees', 'credit', 'Class materials fee', 'field trip fee', 'IS 590', 'documents', 'records', 'expenses', 'project', 'Class Schedule.', '$200.0 Variety']"
8,590GHG,Global Health Informatics,"The course will examine the current state of global health informatics from both a local and global perspective, including opportunities and challenges. Focus will be placed on the transition from paper-based records to electronic systems, with a particular emphasis on large international open-source initiatives and use of mobile devices. Guest speakers will share their experiences with WHO, international education based on mobile devices, and regulatory issues. Meets with IS 490 GHU Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Ian Brooks,['/Jobs & Education/Education'],"['OTHER', 'OTHER', 'LOCATION', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'EVENT', 'OTHER', 'OTHER', 'OTHER', 'CONSUMER_GOOD', 'CONSUMER_GOOD', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'WORK_OF_ART', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'ORGANIZATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER']","['course', 'health informatics', 'state', 'perspective', 'challenges', 'Guest speakers', 'opportunities', 'Focus', 'transition', 'records', 'experiences', 'topics courses', 'mobile devices', 'devices', 'education', 'issues', 'use', 'initiatives', 'emphasis', 'systems', 'Meets', 'aspects', 'Class Schedule Information', 'fees', 'credit', 'WHO', 'field trip fee', 'Class materials fee', 'GHU Variety', 'Class Schedule.', 'Course Information', 'sections', 'curriculum', 'information sciences', 'IS 590']"
9,590GLO,"Local, Regional, Global IS","[Expanded title: Local, Regional and Global Intersections in Library and Information Science]. Required course for joint African Studies/LIS Master's degree. This course explores traditions and trends in library and information science (LIS) from a global perspective incorporating local and regional intersections. Participants consider diverse information contexts emphasizing IS subfields including archives, community informatics, data curation, information policy, IS education, and youth services. Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Steven Witt,[],"['OTHER', 'PERSON', 'OTHER', 'LOCATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'ORGANIZATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER']","['course', 'Regional', 'title', 'Global Intersections in Library and Information Science', 'community informatics', ""LIS Master's degree"", 'traditions', 'trends', 'education', 'library and information science', 'topics courses', 'LIS', 'intersections', 'Class Schedule Information', 'data curation', 'information policy', 'subfields', 'information contexts', 'perspective', 'Participants', 'youth services', 'Variety', 'aspects', 'African Studies', 'fees', 'credit', 'IS', 'archives', 'field trip fee', 'Class materials fee', 'Course Information', 'Class Schedule.', 'information sciences', 'sections', 'curriculum', 'IS 590']"
